Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
1205;JAMEF TRANSPORTES LTDA;Data e Power;Em atendimento;350;348:01:00;50%;13/02/2025;;Vitória Germann;Eder Rodrigues;04/10/2023;;30/09/2025;REFATORAÇÃO DO AMBIENTE POWER BI;Desenvolvimento e implementação de projeto Power BI
1582;JAMEF TRANSPORTES LTDA;Data e Power;Em atendimento;1650;1069:42:00;50%;31/05/2025;;CDB Data Solutions;Eder Rodrigues;23/10/2023;;;Projeto Power BI Jamef;Desenvolvimento e implementação de projeto Power BI
1722;MUNDIAL FLORESTAL;M365;Fechado;30;27:27:00;5%;30/01/2025;PRIME;Luciano Seabra;Gustavo Moyses;31/10/2023;30/01/2025;20/12/2024;MUNDIAL FLORESTAL  / M365 + Sharepoint + Prime;Migracao E-mails IMAP para M365
1723;MUNDIAL FLORESTAL;M365;Fechado;20;03:06:00;;30/01/2025;Faturar no final do projeto;Luciano Seabra;Gustavo Moyses;31/10/2023;30/01/2025;20/12/2024;MUNDIAL FLORESTAL  / M365 + Sharepoint + Prime;Migração SharePoint server para SPO
3219;STELLA - ULTRA FILIAL;M365;Bloqueado;208;240:26:00;75%;16/06/2025;Faturar no inicio do projeto;Luciano Seabra;Edison Sprandel;19/01/2024;;30/05/2025;STELLA, Migração Tenant M365;Migracao de tenant para tenant
3329;FOCUS ENGENHARIA;Data e Power;Fechado;180;71:13:00;;31/03/2025;Descontar do PLUS no inicio do projeto;CDB Data Solutions;Eder Rodrigues;26/01/2024;31/03/2025;05/04/2024;FOCUS ENGENHARIA, SOU PLUS (PROJECT, BI E POWER PLATFORM);Desenvolvimento e implementação de projeto Power BI
6103;USAGRO;M365;Fechado;35;12:18:00;100%;05/03/2025;Faturado em outro projeto.;Gabriel de Menezes;Mateus Silva;25/06/2024;05/03/2025;27/02/2025;USAGRO - Business Premium (Escopo ENTRA ID);Desenvolvimento e implementação de projeto Sharepoint
5481;PHARLAB INDUSTRIA FARMACEUTICA S.A;Azure;Fechado;20;398:10:00;75%;20/02/2025;Faturar no inicio do projeto;René Pretto de Braga ;Cleber Bastos;20/05/2024;20/02/2025;16/01/2025;PHARLAB, AZURE;Migracao Workload On Premises para Azure
5558;NEC ENERGIA;M365;Aguardando;60;140:39:00;75%;17/06/2025;Faturar no inicio do projeto;Luciano Seabra;Junior Brevia;24/05/2024;;16/05/2025;NEC, Projeto Sharepoint;Desenvolvimento e implementação de projeto Sharepoint
4956;Tuper - Divisao Tubos;M365;Fechado;80;333:47:00;100%;09/01/2025;PRIME;Luciano Seabra;Cleber Bastos;19/04/2024;09/01/2025;13/01/2025;TUPER COMERCIAL SA, Microsoft 365;Migracao GSuite para M365
5269;Via Certa;M365;Fechado;57;69:44:00;100%;23/01/2025;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Erika Okada;07/05/2024;23/01/2025;20/01/2025;Via Certa- Projeto de federação de Tenant;Migracao de tenant para tenant
5592;VIRALCOOL - ACUCAR E ALCOOL LTDA.;M365;Fechado;25;13:39:00;;27/01/2025;Faturado em outro projeto.;Helen Machado;Gustavo Moyses;27/05/2024;27/01/2025;;VIRALCOOL SERTAOZINHO  / INTRANET;Desenvolvimento e implementação de projeto INTRANET
6423;CAMORIM SERVICOS MARITIMOS;Data e Power;Fechado;30;03:35:00;;23/01/2025;Faturar no inicio do projeto;Felipe Neiva;Gustavo Moyses;10/07/2024;23/01/2025;02/09/2024;CAMORIM / POWER APP RANCHO;Desenvolvimento e implementação de projeto Power App
4200;ENFORCE GESTAO DE ATIVOS S.A.;Data e Power;Fechado;84;214:08:00;100%;13/04/2025;Faturar no inicio do projeto;Gabriel Kolber;Thiago Alcantara;14/03/2024;13/04/2025;24/03/2025;ENFORCE - Categorização de E-mails e Mensagens Instantâneas;Desenvolvimento e implementação de projeto Data
6574;ENFORCE GESTAO DE ATIVOS S.A.;M365;Aguardando;138;226:59:00;75%;10/04/2025;Descontar do PLUS no inicio do projeto;Eduardo Kochhann;Thiago Alcantara;19/07/2024;;28/03/2025;ENFORCE - Projeto Assistente Virtual;
7326;HAVAN;M365;Fechado;34;100:10:00;25%;28/05/2025;Faturar no inicio do projeto;Eduardo Kochhann;Edison Sprandel;30/08/2024;28/05/2025;27/12/2024;HAVAN - MIGRAÇÃO SHAREPOINT SERVER - SHAREPOINT ONLINE;Desenvolvimento e implementação de projeto de migração para Sharepoint
8215;Sicoob Coopecredi;M365;Fechado;30;43:11:00;75%;17/02/2025;Faturar no inicio do projeto;Gabriel de Menezes;Gustavo Moyses;16/10/2024;17/02/2025;30/01/2025;SICOOB PRO / M365 F1 - ENTRA ID P1 e RENAME SPO;Criação de ambiente M365
8295;Gustavo Alves Vieira;M365;Fechado;15;16:39:00;100%;29/01/2025;Faturar no final do projeto;Gabriel de Menezes;Keila Sayuri;22/10/2024;29/01/2025;28/01/2025;GUSTAVO ALVES VIEIRA - MIGRAÇÃO GMAIL;Migracao E-mails IMAP para M365
8664;Doctor Clin Operadora de Planos de Saúde;M365;Fechado;15;03:09:00;100%;30/01/2025;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Denilson Barboza;08/11/2024;30/01/2025;24/01/2025;DOCTOR CLIN - ENTRA ID;Desenvolvimento e implementação de projeto INTUNE
6889;Marilan;Azure;Fechado;700;662:26:00;75%;06/06/2025;Faturar no final do projeto;René Pretto de Braga ;Mateus Silva;08/08/2024;06/06/2025;24/04/2025;MARILAN sap on azure;Desenvolvimento e implementação de projeto de Migração de Banco de Dados
8292;HIDROPAN DISTRIBUICAO DE ENERGIA S.A.;M365;Fechado;30;67:45:00;100%;14/01/2025;Descontar do PLUS no inicio do projeto;Luciano Seabra;Jéssica Oliveira;22/10/2024;14/01/2025;14/01/2025;HIDROPAN - Projeto Entra ID;Desenvolvimento e implementação de projeto Windows 365
6998;LIONS TRUST ADMINISTRADORA DE RECURSOS LTDA;M365;Fechado;250;225:02:00;75%;08/05/2025;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Jéssica Oliveira;14/08/2024;08/05/2025;25/04/2025;LIONS TRUST - Projetos Segurança;Desenvolvimento e implementação de projeto INTUNE
7329;HT MICRON;M365;Aguardando;80;22:22:00;50%;29/05/2025;PRIME;Tadeu Trajano;Junior Brevia;30/08/2024;;06/06/2025;HT MICRON, Migração FS para Sharepoint;Desenvolvimento e implementação de projeto de migração para Sharepoint
8808;PRIME HOLDING;M365;Fechado;300;18:37:00;100%;03/04/2025;PRIME;Tadeu Trajano;Junior Brevia;19/11/2024;03/04/2025;21/02/2025;PRIME HOLDING, M365 + Unificação de Tenants;Migracao de tenant para tenant
8476;GDM;M365;Fechado;173;83:12:00;100%;07/01/2025;Faturar no inicio do projeto;Tadeu Trajano;Erika Okada;31/10/2024;07/01/2025;06/01/2025;GDM, Migração KWS- Exchange online;Migracao de tenant para tenant
8912;CAMPOS MELLO ADVOGADOS;M365;Fechado;65;60:52:00;50%;01/04/2025;Descontar do PLUS no inicio do projeto;Helen Machado;Thiago Alcantara;25/11/2024;01/04/2025;21/03/2025;Campos Mello - Sharepoint INTRANET;Desenvolvimento e implementação de projeto INTRANET
6525;TradersClub;M365;Fechado;60;52:16:00;50%;13/05/2025;Descontar do PLUS no inicio do projeto;Helen Machado;Erika Okada;17/07/2024;13/05/2025;30/06/2025;TC S.A- Intranet;Desenvolvimento e implementação de projeto INTRANET
7764;HT MICRON;M365;Fechado;40;39:06:00;75%;02/04/2025;Descontar do PLUS no inicio do projeto;Helen Machado;Denilson Barboza;24/09/2024;02/04/2025;31/03/2025;HT MICRON, Implementação Sharepoint INTRANET;Desenvolvimento e implementação de projeto INTRANET
8454;TW TRANSPORTES E LOGISTICA LTDA;Data e Power;Fechado;16;18:01:00;;28/01/2025;Faturar no inicio do projeto;CDB Data Solutions;Eder Rodrigues;30/10/2024;28/01/2025;;TW TRANSPORTES , VALIDAÇÃO DE CONSUMO DE RECURSOS DE BANCO DE DADOS;Desenvolvimento e implementação de projeto Data
8497;COMERCIAL ZAFFARI (GAUCHINHO);Data e Power;Em atendimento;597;440:41:00;75%;18/06/2025;Descontar do PLUS no inicio do projeto;CDB Data Solutions;Eder Rodrigues;01/11/2024;;30/05/2025;COMERCIAL ZAFFARI , PROJETO DE DATA ANALYTICS 2024 ESCOPO FECHADO;Desenvolvimento e implementação de projeto Data
9134;YOSEN;M365;Em atendimento;20;30:12:00;100%;23/06/2025;Faturar no final do projeto;Gabriel de Menezes;Mateus Silva;05/12/2024;;23/06/2025;YOSEN Migração File Server para Sharepoint Online - PCN 86899;Desenvolvimento e implementação de projeto de migração para Sharepoint
9147;A7 REALIZACOES;M365;Fechado;55;04:40:00;100%;21/01/2025;PRIME;Gabriel de Menezes;Jéssica Oliveira;05/12/2024;21/01/2025;21/01/2025;A7 REALIZACOES - Migração Google para MS;Migracao E-mails IMAP para M365
9011;YOSEN;M365;Fechado;50;02:34:00;100%;15/03/2025;Faturar no final do projeto;Gabriel de Menezes;Mateus Silva;29/11/2024;15/03/2025;14/03/2025;YOSEN migração 365 - PCN 86878;Migracao GSuite para M365
9550;BBMO SOCIEDADE DE ADVOGADOS;M365;Fechado;10;09:53:00;100%;06/02/2025;Faturar no final do projeto;Gabriel de Menezes;Gustavo Moyses;06/01/2025;06/02/2025;05/02/2025;BBMOV - FAST TRACK SECURITY - ADVANCED ASSESSMENT;Assessment de Segurança
9684;PLANTECH;M365;Fechado;10;08:16:00;100%;10/02/2025;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Denilson Barboza;13/01/2025;10/02/2025;10/02/2025;PLANTECH - FAST TRACK SECURITY - ADVANCED ASSESSMENT;Assessment de Segurança
9898;BLB Auditores;M365;Fechado;45;00:18:00;100%;30/05/2025;Faturar no final do projeto;Gabriel de Menezes;Gustavo Moyses;23/01/2025;30/05/2025;16/05/2025;BLB AUDITORES /  Segurança M365;Desenvolvimento e implementação de projeto DEFENDER
9956;PROTECTING BRAINS & SAVING FUTURES SISTEMA DE DIAGNOSTICOS INTEGRADOS LTDA;Azure;Aguardando;495;184:08:00;25%;17/06/2025;Descontar do PLUS no inicio do projeto;Mateus Augusto;Eder Rodrigues;28/01/2025;;30/08/2025;PBSF , SOU PLUS (PARCERIA DE SERVIÇOS ) CLIENTE COM SPONSORSHIP;Desenvolvimento e implementação de projeto Azure Backup
9634;GS Inima Brasil;Data e Power;Fechado;33;32:19:00;100%;27/03/2025;Descontar do PLUS no inicio do projeto;Mateus Augusto;Eder Rodrigues;09/01/2025;27/03/2025;21/03/2025;GS INIMA , AMBIENTE AZURE PARA TESTE DE PERFORMANCE DE BI;Desenvolvimento e implementação de projeto Power BI Embedded
9642;FARMACIAS ASSOCIADAS;Azure;Fechado;15;11:02:00;100%;21/02/2025;PRIME;Mateus Augusto;Erika Okada;09/01/2025;21/02/2025;29/01/2025;ASSOCIAÇÃO DOS PROPRIETÁRIOS E OFICIAIS DE FARMÁCIAS DO RS- AZURE;Atualização/Upgrade de ambiente
9111;Cestas de Natal;Azure;Fechado;20;15:52:00;100%;07/01/2025;Faturar no final do projeto;Mateus Augusto;Cleber Bastos;04/12/2024;07/01/2025;;CAPITALDASCESTAS, Implementação do Azure AD – 20 horas;Desenvolvimento e implementação de projeto de ADDS
9476;MERCUR;Azure;Fechado;60;02:35:00;100%;14/02/2025;Descontar do PLUS no inicio do projeto;Mateus Augusto;Eder Rodrigues;27/12/2024;14/02/2025;31/01/2025;MERCUR, INFRA AZURE PARA PROJETO DE BI;Criação e Configuração Storage Account - Blob, File Share, Queues ou Tables
9623;IDEVER INTELIGENCIA DIGITAL LTDA;Azure;Fechado;80;22:37:00;100%;12/03/2025;Descontar do PLUS no inicio do projeto;René Pretto de Braga ;Gustavo Moyses;08/01/2025;12/03/2025;18/03/2025;IDEVER  / ADEQUAÇÃO AMBIENTE AZURE;Desenvolvimento e implementação de projeto Azure Firewall
9767;Novo Cliente Projetos,TradersClub;M365;Fechado;30;19:03:00;100%;13/02/2025;Faturar no final do projeto;Luciano Seabra;Erika Okada;16/01/2025;13/02/2025;07/02/2025;TC S.A, TRY & BUY- DEFENDER;Desenvolvimento e implementação de projeto DEFENDER
9800;CONVERT COMPANY;M365;Fechado;43;23:32:00;100%;23/04/2025;Descontar do PLUS no inicio do projeto;Luciano Seabra;João Mendonça - TEEVO;17/01/2025;23/04/2025;02/04/2025;Convert - MDM, Intune;Desenvolvimento e implementação de projeto INTUNE
9814;Casa do Pica Pau;M365;Fechado;10;17:18:00;75%;21/02/2025;Faturar no inicio do projeto;Luciano Seabra;Tatiana Lesnieski;20/01/2025;21/02/2025;14/02/2025;CASA DO PICA-PAU (HOHL), Fluxo Jornada;Assessment de Segurança
9954;ZILOR;M365;Fechado;30;35:23:00;100%;03/04/2025;Descontar do PLUS no inicio do projeto;Luciano Seabra;Eder Rodrigues;28/01/2025;03/04/2025;31/03/2025;ZILOR , IMPLEMENTAÇÃO MIP/DLP;Desenvolvimento e implementação de projeto DLP e AIP (MIP)
9486;PAYCON - PAYROLL;M365;Fechado;70;33:05:00;100%;15/03/2025;Faturar no inicio do projeto;Luciano Seabra;Keila Sayuri;30/12/2024;15/03/2025;21/02/2025;MICROSOFT 365 E SERVIÇO  - PAYCON AUTOMAÇÃO;Desenvolvimento e implementação de projeto DLP e AIP (MIP)
8998;A7 REALIZACOES;M365;Fechado;25;04:17:00;100%;21/01/2025;Faturar no inicio do projeto;Luciano Seabra;Jéssica Oliveira;28/11/2024;21/01/2025;17/01/2025;A7 REALIZACOES - PROJETO - CONFIGURAÇÃO SHAREPOINT ONLINE ;Desenvolvimento e implementação de projeto Sharepoint
9116;AQUANIMA;M365;Fechado;60;16:48:00;100%;31/01/2025;Descontar do PLUS no inicio do projeto;Luciano Seabra;Gustavo Moyses;04/12/2024;31/01/2025;31/01/2025;AQUANIMA / M365 PREMIUM;Criação de ambiente M365
9472;JEM SYSTEM;M365;Fechado;0;00:09:00;;17/02/2025;Descontar do PLUS no inicio do projeto;Luciano Seabra;Juliana Santos;27/12/2024;17/02/2025;;JEMSystem, 300 M365 STD;Migracao de tenant para tenant
9361;VITECH MEDICAL;M365;Fechado;30;04:34:00;75%;06/01/2025;PRIME;Luciano Seabra;Thiago Alcantara;17/12/2024;06/01/2025;27/01/2025;VITECH, 365;Desenvolvimento e implementação de projeto de migração para Sharepoint
9417;ASA Investments;M365;Fechado;50;20:25:00;75%;12/02/2025;Faturar no inicio do projeto;Luciano Seabra;Erika Okada;19/12/2024;12/02/2025;07/02/2025;ASA, Pool de horas;Assessment de Segurança
9423;USAFLEX FRANQUIAS;M365;Fechado;10;03:00:00;100%;06/01/2025;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Edison Sprandel;20/12/2024;21/01/2025;;USAFLEX, FAST Track Advanced Security;Assessment de Segurança
9283;SISCOM;M365;Fechado;20;15:54:00;100%;08/05/2025;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Erika Okada;12/12/2024;08/05/2025;04/04/2025;SISCOM, ADFS;Desenvolvimento e implementação de projeto de Gerenciamento de Identidade
9336;SOU.cloud;M365;Fechado;;25:02:00;;15/03/2025;;Tadeu Trajano;;16/12/2024;15/03/2025;22/01/2025;Projeto - PIM;Demandas Internas
9447;CAMPOS MELLO ADVOGADOS;M365;Fechado;50;39:53:00;100%;21/03/2025;Faturado em outro projeto.;Tadeu Trajano;Thiago Alcantara;23/12/2024;21/03/2025;15/01/2025;Microsoft 365 Security - Incentivo MS ;Engajamento - Threat protection engagement
9747;MUSASHI DO BRASIL LTDA;M365;Fechado;50;16:10:00;100%;26/03/2025;Faturar no inicio do projeto;Tadeu Trajano;Thiago Alcantara;15/01/2025;26/03/2025;19/03/2025;Musashi - O365 Defender;Desenvolvimento e implementação de projeto DEFENDER
9866;Construtora Planeta;M365;Fechado;20;09:17:00;100%;17/03/2025;Faturar no inicio do projeto;Tadeu Trajano;Thiago Alcantara;21/01/2025;17/03/2025;17/03/2025;CONSTRUTORA PLANETA  - Backup Sharepoint;Desenvolvimento e implementação de projeto Sharepoint
9666;CONVERT COMPANY;M365;Fechado;10;04:01:00;100%;06/06/2025;Descontar do PLUS no inicio do projeto;Tadeu Trajano;João Mendonça - TEEVO;10/01/2025;06/06/2025;20/06/2025;Convert Company - Jornada de segurança M365, Advanced Assessment - Fast Track;Assessment de Segurança
9135;YOSEN;M365;Aguardando;50;43:16:00;75%;11/06/2025;Faturar no final do projeto;Helen Machado;Mateus Silva;05/12/2024;;27/06/2025;YOSEN Preparação Intranet (escopo a definir) - PCN 86900;Desenvolvimento e implementação de projeto INTRANET
9705;GRUPO CANOPUS;Data e Power;Fechado;10;02:03:00;;23/01/2025;Faturar no inicio do projeto;CDB Data Solutions;Keila Sayuri;14/01/2025;23/01/2025;;POLL DE HORAS - DISVECO;Consultoria técnica
10133;LIONS TRUST ADMINISTRADORA DE RECURSOS LTDA;Azure;Fechado;10;02:30:00;100%;14/02/2025;PRIME;Marcelo Zola;Cleber Bastos;05/02/2025;17/02/2025;;LIONS TRUST - Azure;Atualização/Upgrade de ambiente
10237;BP One Group;Azure;Fechado;14;00:08:00;;28/05/2025;Faturar no inicio do projeto;Eduardo Kochhann;Gustavo Moyses;11/02/2025;28/05/2025;;BP ONE / POWER BI EMBEDDED;Criação e Configuração Storage Account - Blob, File Share, Queues ou Tables
9959;ENFORCE GESTAO DE ATIVOS S.A.;Data e Power;Aguardando;138;153:04:00;75%;10/04/2025;Descontar do PLUS no inicio do projeto;Eduardo Kochhann;Thiago Alcantara;28/01/2025;;18/04/2025;ENFORCE - Auto categorização de arquivos e organização de arquivos legados (FS 3 e 4);Desenvolvimento e implementação de projeto Data
9978;SuperFrio;M365;Fechado;32;00:11:00;5%;28/05/2025;Faturar no final do projeto;Eduardo Kochhann;Gustavo Moyses;29/01/2025;28/05/2025;30/06/2025;SUPERFRIO  /  INTUNE + ENTRA ID;Desenvolvimento e implementação de projeto de Gerenciamento de Identidade
11359;JEM SYSTEM;Azure;Fechado;36;07:09:00;100%;28/05/2025;PRIME;Eduardo Kochhann;Juliana Santos;10/04/2025;28/05/2025;23/05/2025;JEM SEGURANÇA - Azure Files POC;Criação e Configuração Storage Account - Blob, File Share, Queues ou Tables
11126;GS Inima Brasil;M365;Fechado;10;00:02:00;;09/04/2025;Engajamento;Eduardo Kochhann;Eder Rodrigues;28/03/2025;09/04/2025;;GS INIMA , THREAT PROTECTION ENGAGEMENT;Engajamento - Threat protection engagement
11133;RECORD;M365;Em atendimento;10;00:03:00;75%;03/06/2025;Engajamento;Eduardo Kochhann;Diogo Lima;28/03/2025;;25/06/2025;RECORD, Data Security Engagement;Engajamento - Data security
11160;NEWFIELDS BRASIL;M365;Fechado;42;00:11:00;;28/05/2025;Faturar no inicio do projeto;Eduardo Kochhann;Denilson Barboza;31/03/2025;28/05/2025;;NewFields Brasil, Implementação de DLP;Desenvolvimento e implementação de projeto DLP e AIP (MIP)
11130;Cerradinho;M365;Fechado;20;21:17:00;100%;27/05/2025;Engajamento;Gabriel de Menezes;Mateus Silva;28/03/2025;27/05/2025;12/05/2025;CERRADINHO - DATA SECURITY ENGAGEMENT;Engajamento - Data security
11131;Cerradinho;M365;Fechado;20;19:08:00;100%;12/06/2025;Engajamento;Gabriel de Menezes;Mateus Silva;28/03/2025;12/06/2025;12/05/2025;THREAT PROTECTION ENGAGEMENT - CERRADINHO;Engajamento - Threat protection engagement
11127;REDE OBA HORTIFRUTI;M365;Fechado;40;32:43:00;100%;27/05/2025;Engajamento;Gabriel de Menezes;Edison Sprandel;28/03/2025;27/05/2025;12/05/2025;OBA, Incentivo Data Security;Engajamento - Threat protection engagement
10870;GNG Fundações;M365;Fechado;55;21:05:00;100%;30/04/2025;PRIME;Gabriel de Menezes;Juliana Santos;17/03/2025;30/04/2025;25/04/2025;GNG CONSTRUCOES, 60 M365 BB BS + PRIME - MIGRAÇÃO GMAIL;Migracao E-mails IMAP para M365
11362;PLANALTO SOLUÇÕES IMOBILIARIAS;M365;Em atendimento;80;04:35:00;5%;18/06/2025;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Gustavo Moyses;10/04/2025;;30/06/2025;PLANALTO SOLUÇÕES IMOB / MIGRAÇÃO M365 (Godaddy) p/ M365 - 285 usuários;Migracao de tenant para tenant
10505;Novo Cliente Projetos;M365;Fechado;28;35:47:00;100%;23/04/2025;Faturar no inicio do projeto;Gabriel de Menezes;Caio D'Agostini;24/02/2025;23/04/2025;15/04/2025;HPRO - Migração de e-mails Bluest One;Migracao E-mails IMAP para M365
10013;Doctor Clin Operadora de Planos de Saúde;M365;Fechado;45;15:00:00;25%;11/04/2025;Faturado em outro projeto.;Gabriel de Menezes;Denilson Barboza;30/01/2025;11/04/2025;16/04/2025;DOCTOR CLIN - INTUNE;Desenvolvimento e implementação de projeto INTUNE
10178;JUSTNEW TECNOLOGIA;Azure;Fechado;1;00:30:00;;11/02/2025;PRIME;Daniel Modolin;Cleber Bastos;07/02/2025;11/02/2025;;JUST NEW, Upgrade VM Azure 2;Atualização/Upgrade de ambiente
11223;INSTITUTO MONITOR;Azure;Aguardando;22;19:18:00;25%;17/06/2025;PRIME;Mateus Augusto;Juliana Santos;02/04/2025;;30/06/2025;INSTITUTO MONITOR, Azure;
10973;FOSNOR - GALVANI;Azure;Fechado;24;20:43:00;100%;15/05/2025;Descontar do PLUS no inicio do projeto;Mateus Augusto;Tatiana Lesnieski;20/03/2025;15/05/2025;09/05/2025;GALVANI, Azure Devops;Desenvolvimento e implementação de projeto Devops
